# Exact English source<TAB>Simplified Chinese translation.
# Keep application data, terminal content, model output, and user-authored text out of this catalog.
+ Add rule	+ 添加规则
 Type a response or click one above...	 输入回复，或点击上方选项...
 anytime.	随时重新启用。
 to import later.	，以便稍后导入。
# Enter a shell command that generates variants, delimited by newlines.\n\ngit branch -a	# 输入用于生成变体的 shell 命令，每行一个。\n\ngit branch -a
(ctrl+o).	(ctrl+o)。
(queued until the command finishes)	（排队等待命令完成）
+ Add directory…	+ 添加目录…
+ Add new repo...	+ 添加新仓库...
, ask a team admin to enable overages	，请联系团队管理员启用超额用量
, ask a team admin to increase overages	，请联系团队管理员提高超额用量
, contact a team admin	，请联系团队管理员
<describe what you want to build>	<描述你想构建的内容>
<describe your task>	<描述你的任务>
<new title>	<新标题>
<optional custom summarization instructions>	<可选的自定义摘要说明>
<optional filename>	<可选文件名>
<optional follow-up prompt>	<可选的后续提示>
<optional repo paths or GitHub URLs>	<可选的仓库路径或 GitHub URL>
<path/to/file[:line[:col]]> or "@" to search	<文件路径[:行[:列]]> 或输入 "@" 搜索
<prompt to send after compaction>	<压缩后发送的提示>
<prompt to send when agent is done>	<智能体完成后发送的提示>
<tab name>	<标签页名称>
API key	API 密钥
Access your tab configs here.	在此访问标签页配置。
Add MCP servers to extend the Warp Agent's capabilities. MCP servers expose data sources or tools to agents through a standardized interface, essentially acting like plugins. Add a custom server, or use the presets to get started with popular servers. You can also find team servers that have been shared with you here. 	添加 MCP 服务器以扩展 Warp 智能体的能力。MCP 服务器通过标准接口向智能体提供数据源或工具，本质上类似插件。你可以添加自定义服务器，或使用预设快速配置常用服务器。还可以在此查找与你共享的团队服务器。 
Add alias	添加别名
Agent harness	智能体运行框架
Aliases allow you to create short strings to execute workflows. Each alias can have different argument values and environment variables, and aliases are personal to you.	别名可让你用简短字符串执行工作流。每个别名可以设置不同的参数值和环境变量，且别名仅供你个人使用。
Allow automatic indexing	允许自动建立索引
Are you sure you want to unshare this block?\n\nIt will no longer be accessible by link and will be permanently deleted from Warp servers.	确定要取消共享此区块吗？\n\n之后将无法再通过链接访问，并会从 Warp 服务器永久删除。
At Limit -	已达上限 -
At any time, you may choose to delete your Warp account permanently. You will no longer be able to use Warp.	你可以随时选择永久删除 Warp 账户。删除后将无法继续使用 Warp。
Attach context	附加上下文
Auto-approve all agent actions for this task	自动批准此任务中的所有智能体操作
Auto-reload is enabled	已启用自动重新加载
Automatically generate a theme based on extracted colors from an image (.png, .jpg).	根据从图片（.png、.jpg）中提取的颜色自动生成主题。
Break this work into coordinated streams with multiple agents.	将此工作拆分为由多个智能体协同处理的任务流。
Choose agent model	选择智能体模型
Choose an AI execution profile	选择 AI 执行配置
Choose an agent model	选择智能体模型
Choose directory...	选择目录...
Choose file...	选择文件...
Choose files...	选择文件...
Click the button below to link your Warp account to your SSO provider.	点击下方按钮，将 Warp 账户关联到 SSO 提供商。
Cloud agent trial	云端智能体试用
Codebase indexing	代码库索引
Congrats!	恭喜！
Connected to a live cloud agent session. Your next prompt continues on the running remote machine.	已连接到正在运行的云端智能体会话。你的下一条提示将在远程机器上继续执行。
Contact an admin to join a team to gain access to more features.	请联系管理员加入团队，以使用更多功能。
Contact support	联系支持
Could not clear the selected API key. Try again.	无法清除所选 API 密钥，请重试。
Could not save the Warp credit fallback setting.	无法保存 Warp 点数回退设置。
Couldn't connect to the Warp SSH extension	无法连接到 Warp SSH 扩展
Create Environment	创建环境
Create PR	创建 PR
Create theme	创建主题
Delete theme	删除主题
Discard all	全部丢弃
Docker image to use for the environment	环境使用的 Docker 镜像
Edit anyway	仍要编辑
Edit prompt	编辑提示
Enable In-band Generators for New Sessions	为新会话启用带内生成器
Enable PTY Recording Mode (warp.pty.recording)	启用 PTY 录制模式（warp.pty.recording）
Enable Shell Debug Mode (-x) for New Sessions	为新会话启用 Shell 调试模式（-x）
Enter your prompt here... (e.g., 'Create a function to sort an array of objects by date' or 'Help me debug this React component').	在此输入提示...（例如“创建一个按日期排序对象数组的函数”或“帮我调试这个 React 组件”）。
Enterprise credit usage isn't fully available in this view yet. Contact a team admin for detailed usage reporting.	此视图暂未完整提供企业点数用量。请联系团队管理员获取详细用量报告。
Enterprise credit usage isn't fully available in this view yet. For the most accurate spend tracking, 	此视图暂未完整提供企业点数用量。若要最准确地跟踪支出，
Environments	环境
Environments define where your ambient agents run. Set one up in minutes via GitHub (recommended), Warp-assisted setup, or manual configuration.	环境用于定义环境智能体的运行位置。可通过 GitHub（推荐）、Warp 辅助设置或手动配置在几分钟内完成设置。
Execution host	执行主机
Export Default Settings as CSV to home dir	将默认设置导出为 CSV 到主目录
File issue	提交问题
Filter block output	筛选区块输出
Find	查找
Get exclusive Warp goodies when you refer someone*	推荐好友即可获得 Warp 专属好礼*
Get started with AI	开始使用 AI
GitHub link or local filepath to the repository	仓库的 GitHub 链接或本地文件路径
Grok is already connected. Press Ctrl-X to disconnect.	Grok 已连接。按 Ctrl-X 断开连接。
Hide Rich Input	隐藏富文本输入
ID of the environment to integrate with	要集成的环境 ID
If you take edit controls, the current editor will be forced into view mode	如果你取得编辑控制权，当前编辑者将被强制切换为查看模式
If you want to create an environment with repos, rerun this command and pass in file paths or GitHub links as arguments, e.g. "/create-environment <filepath> <GitHub URL>".	如果要创建包含仓库的环境，请重新运行此命令，并将文件路径或 GitHub 链接作为参数传入，例如 "/create-environment <文件路径> <GitHub URL>"。
Image too large to display	图片过大，无法显示
In order to use Warp’s AI features, subscribe to a Warp plan or buy packs of credits.	要使用 Warp 的 AI 功能，请订阅 Warp 套餐或购买点数包。
Index codebase	为代码库建立索引
Indexing helps agents quickly understand context and provide targeted solutions. Code is never stored on the server.	索引可帮助智能体快速理解上下文并提供针对性解决方案。代码绝不会存储在服务器上。
Initialization Settings	初始化设置
Invite a friend to Warp	邀请好友使用 Warp
It looks like you logged into a Warp account through a web browser. If you continue, any personal Warp drive objects and preferences from this anonymous session with be permanently deleted.	你似乎已通过网页浏览器登录 Warp 账户。如果继续，此匿名会话中的个人 Warp Drive 对象和偏好设置将被永久删除。
Keep editing	继续编辑
Kick off a cloud agent	启动云端智能体
Latest updates	最新动态
Load	加载
Look incorrect? 	看起来不对？
Looking for settings to import...	正在查找可导入的设置...
More info	更多信息
Name can only contain letters, numbers, hyphens, and underscores	名称只能包含字母、数字、连字符和下划线
Name for the environment	环境名称
New argument	新建参数
New environment variables	新建环境变量
Next, let’s set up your prompt. Warp has a custom prompt builder or you can select PS1 to honor your pre-existing prompt configuration.	接下来设置你的提示符。Warp 提供自定义提示符构建器，你也可以选择 PS1 以沿用现有提示符配置。
No existing prompt.	没有现有提示符。
No internet connection	无网络连接
No search results found	未找到搜索结果
Not connected to cloud agent. Your next prompt starts a new cloud machine to continue this conversation.	未连接到云端智能体。你的下一条提示将启动新的云端机器以继续此对话。
Once you add a MCP server, it will be shown here.	添加 MCP 服务器后，它将显示在此处。
Open admin panel	打开管理面板
Open project rules	打开项目规则
Please enter a line number	请输入行号
Please enter a valid column number	请输入有效的列号
Please enter a valid line number	请输入有效的行号
Publish	发布
Push	推送
Replace	替换
Requested Edit	请求的编辑
Restart	重新启动
Restricted due to payment issue	因付款问题受限
Retry sync	重试同步
Rules	规则
Rules enhance the agent by providing structured guidelines that help maintain consistency, enforce best practices, and adapt to specific workflows, including codebases or broader tasks.	规则通过提供结构化指引来增强智能体能力，帮助保持一致性、落实最佳实践，并适应代码库或更广泛任务等特定工作流。
Run metadata is not available	运行元数据不可用
Save file as...	文件另存为...
Save workflow	保存工作流
Search models	搜索模型
Search rules	搜索规则
Secret command	密钥命令
Select MCP servers	选择 MCP 服务器
Select a settings profile to import:	选择要导入的设置配置：
Send code review comments to agent	将代码审查评论发送给智能体
Sharing in Warp Drive	在 Warp Drive 中共享
Shell prompt (PS1)	Shell 提示符（PS1）
Shift + ctrl + space a block or text selection to ask Warp AI.	按 Shift + Ctrl + 空格，将区块或所选文本发送给 Warp AI。
Show In-band Command Blocks	显示带内命令区块
Show Initialization Block	显示初始化区块
Show Warpified SSH Blocks	显示 Warp 化 SSH 区块
Show context lines around matches	显示匹配项周围的上下文行
Sign up to participate in Warp's referral program	注册以参加 Warp 推荐计划
Start remote control	启动远程控制
Start using AI	开始使用 AI
Starting shell...	正在启动 Shell...
The first cloud-mode prompt cannot be changed.	无法更改云端模式的第一条提示。
The primary model all agents will use.	所有智能体使用的主模型。
Thinking	思考中
Thinking...	思考中...
This action cannot be undone	此操作无法撤销
This action takes effect immediately	此操作立即生效
This cannot be undone.	此操作无法撤销。
This option is enforced by your organization's settings and cannot be customized.	此选项由组织设置强制执行，无法自定义。
This will permanently delete the theme.	这将永久删除该主题。
Thought for {duration}	思考了 {duration}
Title (optional)	标题（可选）
Tmux SSH warpification has been deprecated	基于 tmux 的 SSH Warp 化已弃用
Try again	重试
Try it out!	立即体验！
Type '#' for AI command suggestions	输入“#”获取 AI 命令建议
Type a commit message	输入提交信息
Unlock smarter, more consistent responses by letting the Agent understand your codebase and generate rules for it. You can also do this at any point by running /init	让智能体理解代码库并为其生成规则，以获得更智能、更一致的响应。你也可以随时运行 /init 完成此操作
Update Warp	更新 Warp
Update from {publisher}	来自 {publisher} 的更新
Usage reporting is currently limited	用量报告目前受限
Use orchestration	使用编排
Variables	变量
Variant	变体
Variants	变体
Version {version}	版本 {version}
View plans	查看套餐
View status	查看状态
Warp now connects to remote sessions using the SSH extension, which is more robust than the tmux-based flow. The tmux option has been removed.	Warp 现在使用 SSH 扩展连接远程会话，比基于 tmux 的流程更可靠。tmux 选项已移除。
Warp prompt	Warp 提示符
Warp terminal prompt	Warp 终端提示符
Warp works with many custom prompts like oh-my-zsh, Starship, Powerlevel10K. 	Warp 支持许多自定义提示符，例如 oh-my-zsh、Starship 和 Powerlevel10K。
We may collect certain console interactions to improve Warp's AI capabilities. You can opt out any time.	我们可能会收集部分控制台交互，以改进 Warp 的 AI 能力。你可以随时选择退出。
While advanced features like file browsing and code review are currently disabled, the rest of your Warpified experience is fully available.	文件浏览和代码审查等高级功能目前已禁用，但其他 Warp 化体验仍可正常使用。
Yes, empty trash	是，清空废纸篓
You are offline.	你当前处于离线状态。
You are offline. Some files will be read only.	你当前处于离线状态。部分文件将为只读。
You are offline. Some rules will be read only.	你当前处于离线状态。部分规则将为只读。
You can view this shared session, but run metadata is only visible to users with access to this run.	你可以查看此共享会话，但只有拥有该次运行访问权限的用户才能查看运行元数据。
You have reached the maximum number of codebase indices for your plan. Delete existing indices to auto-index new codebases.	已达到当前套餐允许的代码库索引数量上限。请删除现有索引，以自动为新代码库建立索引。
You need AI credits in order to use Warp’s agent.	你需要 AI 点数才能使用 Warp 智能体。
Your organization has enabled SSO for your account	你的组织已为账户启用 SSO
Your rules are disabled and won't be used as context in sessions. You can 	你的规则已禁用，不会在会话中用作上下文。你可以
Your team’s visibility settings prevent you from creating invite links.	团队的可见性设置不允许你创建邀请链接。
a team member	一位团队成员
another device	另一台设备
disabled	已禁用
e.g. Never use unwrap in Rust	例如：在 Rust 中绝不使用 unwrap
e.g. Rust rules	例如：Rust 规则
e.g. https://us.api.openai.com/v1 for a regional endpoint	例如：https://us.api.openai.com/v1（区域端点）
e.g., this environment is for all front end focused agents	例如：此环境供所有专注于前端的智能体使用
md, yaml, yml	md、yaml、yml
my-worker-host	my-worker-host
|	|
Ask Warp AI	询问 Warp AI
Can I start additional agents for this task?	可以为此任务启动其他智能体吗？
Hand off to cloud	移交到云端
I’m sorry, I couldn’t complete that request.	抱歉，我无法完成该请求。
This response won't count towards your usage.	此响应不会计入你的用量。
Warp AI	Warp AI
ctrl-c again to kill child agent	再次按 ctrl-c 终止子智能体
⚠ 	⚠ 
 New session in {directory}  {keybinding}	 在 {directory} 新建会话  {keybinding}
Add a server	添加服务器
Add credits	添加点数
Authenticate GitHub	验证 GitHub 身份
Certain restrictions apply.	需遵守特定限制。
Contact sales	联系销售
Create an account	创建账户
Documentation.	文档。
Enable premium overages	启用高级模型超额用量
Increase it	提高限额
Increase monthly spend limit	提高每月支出限额
Increase your limit	提高限额
Learn more.	了解更多。
Let us know	告诉我们
Let us know.	告诉我们。
Manage Agent permissions	管理智能体权限
Manage suggested code banner settings	管理代码建议横幅设置
Please report any issues	请报告任何问题
See supported providers.	查看支持的提供商。
Sign up for more AI credits	注册以获取更多 AI 点数
Switch to Business	切换到 Business 套餐
Switch to the Build plan	切换到 Build 套餐
Upgrade to Max	升级到 Max 套餐
Upgrade to the Build plan	升级到 Build 套餐
Visit docs	查看文档
Wispr Flow	Wispr Flow
bring your own key	使用你自己的密钥
learn more about MCPs.	详细了解 MCP。
more info	更多信息
pricing page	定价页面
settings	设置
these instructions	这些说明
troubleshooting docs	故障排除文档
turn it back on	重新启用
upgrading to a Build plan	升级到 Build 套餐
use your own API keys	使用你自己的 API 密钥
visit the admin panel	访问管理面板
Waiting	等待中
cd to directory	进入该目录
workspace admin panel	工作区管理面板
Warping...	执行中...
Adjusting tasks...	正在调整任务...
Generating fix...	正在生成修复...
Creating diff...	正在创建差异...
Preparing question...	正在准备问题...
Generating plan...	正在生成计划...
Updating plan...	正在更新计划...
Summarizing conversation...	正在总结对话...
Summarizing command output...	正在总结命令输出...
Searching codebase...	正在搜索代码库...
Reading files...	正在读取文件...
Grepping...	正在搜索...
Finding files...	正在查找文件...
Executing command...	正在执行命令...
Writing command input...	正在写入命令输入...
Waiting for command to exit...	正在等待命令退出...
Searching the web...	正在搜索网页...
{message} with {model}...	{message}（使用 {model}）...
{message} with {model}	{message}（使用 {model}）
{message} with {model}.	{message}（使用 {model}）。
Warping with another model.	正在使用其他模型执行。
CHANGES	更改
LOCAL	本地
MERGE CONFLICTS	合并冲突
REMOTE	远程
STAGED	已暂存
UNVERSIONED FILES	未版本控制的文件
{label}  {count}	{label}  {count}
{marker} {name}{tracking}	{marker} {name}{tracking}
{short_hash}  {author_name}  {authored_at}	{short_hash}  {author_name}  {authored_at}
{short_hash}  {subject}	{short_hash}  {subject}
Applied stash	已应用储藏
Archive other tabs	归档其他标签页
Archive tab	归档标签页
Archive Tabs Below	归档下方标签页
Archive Tabs to the Right	归档右侧标签页
Branches	分支
Checked out branch	已检出分支
Checkout	检出
Commit staged	提交已暂存更改
Committed staged changes	已提交暂存的更改
Created branch	已创建分支
Delete local branch {name}? Git will refuse if it is unmerged.	删除本地分支 {name}？如果分支尚未合并，Git 将拒绝此操作。
Delete tab…	删除标签页…
Delete this archived tab?	删除这个已归档标签页？
Delete this tab?	删除这个标签页？
Deleted branch	已删除分支
Discard uncommitted changes in {path}? This cannot be undone.	放弃 {path} 中未提交的更改？此操作无法撤销。
Enter a branch name	输入分支名称
Enter a commit message	输入提交信息
Fetch	获取
Fetched remote changes	已获取远程更改
Loading commit…	正在加载提交…
Loading diff…	正在加载差异…
Loading repositories…	正在加载仓库…
Log	日志
Merge	合并
Merged branch	已合并分支
No Git repository	没有 Git 仓库
No matching items.	没有匹配项。
Open a directory inside a Git repository to use Version Control.	请打开 Git 仓库中的目录以使用版本控制。
Open version control	打开版本控制
Pop	应用储藏
Pull	拉取
Pulled remote changes	已拉取远程更改
Pushed branch	已推送分支
Resolve the merge conflict before rolling it back	请先解决合并冲突，再回滚更改
Rolled back changes	已回滚更改
Rollback	回滚
Stage	暂存
Stage all	全部暂存
Staged changes	已暂存更改
Stash	储藏
Stashed changes	已储藏更改
This permanently removes the saved tab and cannot be undone.	这会永久移除已保存的标签页，且无法撤销。
This permanently removes the tab instead of keeping it in Archived.	这会永久移除标签页，而不会将其保留在“已归档”中。
Unstage	取消暂存
Unstage all	全部取消暂存
Unstaged changes	已取消暂存更改
Unversioned files are not deleted from the Version Control panel	版本控制面板不会删除未纳入版本控制的文件
Markdown reader · visual snapshot	Markdown 阅读器 · 可视化快照
Show terminal output	显示终端输出
View tab in Markdown reader	在 Markdown 阅读器中查看标签页
